,country,continent,date,cases,deaths,country_code,population,normalized deaths,normalized cases
131,Mozambique,Africa,2020-04-12,0,0,MOZ,29495962.0,0.0,0.0
132,Myanmar,Asia,2020-04-12,3,0,MMR,53708395.0,0.0,5.585718955109346e-08
133,Namibia,Africa,2020-04-12,0,0,NAM,2448255.0,0.0,0.0
134,Nepal,Asia,2020-04-12,0,0,NPL,28087871.0,0.0,0.0
135,Netherlands,Europe,2020-04-12,1316,132,NLD,17231017.0,7.660604130330786e-06,7.637390178420693e-05
136,New_Caledonia,Oceania,2020-04-12,0,0,NCL,284060.0,0.0,0.0
137,New_Zealand,Oceania,2020-04-12,14,0,NZL,4885500.0,0.0,2.865622761232218e-06
138,Nicaragua,America,2020-04-12,0,0,NIC,6465513.0,0.0,0.0
139,Niger,Africa,2020-04-12,53,0,NER,22442948.0,0.0,2.3615435904409705e-06
140,Nigeria,Africa,2020-04-12,13,3,NGA,195874740.0,1.531591056610975e-08,6.636894578647559e-08
141,North_Macedonia,Europe,2020-04-12,49,2,MKD,2082958.0,9.601729847649353e-07,2.3524238126740915e-05
142,Northern_Mariana_Islands,Oceania,2020-04-12,0,0,MNP,56882.0,0.0,0.0
143,Norway,Europe,2020-04-12,76,6,NOR,5314336.0,1.1290215748496143e-06,1.4300939948095115e-05
144,Oman,Asia,2020-04-12,62,0,OMN,4829483.0,0.0,1.2837813074401546e-05
145,Pakistan,Asia,2020-04-12,250,15,PAK,212215030.0,7.068302372362598e-08,1.1780503953937665e-06
146,Palestine,Asia,2020-04-12,2,0,PSE,4569087.0,0.0,4.377242105479716e-07
147,Panama,America,2020-04-12,260,5,PAN,4176873.0,1.1970677585839933e-06,6.224752344636766e-05
148,Papua_New_Guinea,Oceania,2020-04-12,0,0,PNG,8606316.0,0.0,0.0
149,Paraguay,America,2020-04-12,1,0,PRY,6956071.0,0.0,1.4375931470509718e-07
150,Peru,America,2020-04-12,951,12,PER,31989256.0,3.7512594853722135e-07,2.9728731421574793e-05
151,Philippines,Asia,2020-04-12,352,44,PHL,106651922.0,4.1255702827371457e-07,3.3004562261897166e-06
152,Poland,Europe,2020-04-12,401,27,POL,37978548.0,7.10927653158304e-07,1.0558592182091849e-05
153,Portugal,Europe,2020-04-12,515,35,PRT,10281762.0,3.4040857977455616e-06,5.0088691023970405e-05
154,Puerto_Rico,America,2020-04-12,63,3,PRI,3195153.0,9.389221736799458e-07,1.9717365647278864e-05
155,Qatar,Asia,2020-04-12,216,0,QAT,2781677.0,0.0,7.765099973864687e-05
156,Romania,Europe,2020-04-12,523,25,ROU,19473936.0,1.2837671850210456e-06,2.6856409510640274e-05
157,Russia,Europe,2020-04-12,1667,12,RUS,144478050.0,8.305759940696873e-08,1.1538084850951408e-05
158,Rwanda,Africa,2020-04-12,2,0,RWA,12301939.0,0.0,1.625759971659752e-07
159,Saint_Kitts_and_Nevis,America,2020-04-12,0,0,KNA,52441.0,0.0,0.0
160,Saint_Lucia,America,2020-04-12,0,0,LCA,181889.0,0.0,0.0
161,Saint_Vincent_and_the_Grenadines,America,2020-04-12,0,0,VCT,110210.0,0.0,0.0
162,San_Marino,Europe,2020-04-12,12,1,SMR,33785.0,2.959893443836022e-05,0.0003551872132603226
163,Sao_Tome_and_Principe,Africa,2020-04-12,0,0,STP,211028.0,0.0,0.0
164,Saudi_Arabia,Asia,2020-04-12,382,5,SAU,33699947.0,1.4836818586094512e-07,1.1335329399776208e-05
165,Senegal,Africa,2020-04-12,13,0,SEN,15854360.0,0.0,8.199637197591073e-07
166,Serbia,Europe,2020-04-12,275,3,SRB,6982084.0,4.296711411664483e-07,3.93865212735911e-05
167,Seychelles,Africa,2020-04-12,0,0,SYC,96762.0,0.0,0.0
168,Sierra_Leone,Africa,2020-04-12,2,0,SLE,7650154.0,0.0,2.614326456696166e-07
169,Singapore,Asia,2020-04-12,390,2,SGP,5638676.0,3.5469319393417887e-07,6.916517281716488e-05
170,Sint_Maarten,America,2020-04-12,0,0,SXM,41486.0,0.0,0.0
171,Slovakia,Europe,2020-04-12,13,0,SVK,5447011.0,0.0,2.3866300251642597e-06
172,Slovenia,Europe,2020-04-12,28,5,SVN,2067372.0,2.4185294180244293e-06,1.3543764740936803e-05
173,Somalia,Africa,2020-04-12,0,0,SOM,15008154.0,0.0,0.0
174,South_Africa,Africa,2020-04-12,25,1,ZAF,57779622.0,1.7307139877100614e-08,4.326784969275154e-07
175,South_Korea,Asia,2020-04-12,62,6,KOR,51635256.0,1.1619967566346528e-07,1.200729981855808e-06
176,South_Sudan,Africa,2020-04-12,1,0,SSD,10975920.0,0.0,9.110853577649983e-08
177,Spain,Europe,2020-04-11,4550,605,ESP,46723749.0,1.2948447266078756e-05,9.738088439778238e-05
178,Sri_Lanka,Asia,2020-04-12,2,0,LKA,21670000.0,0.0,9.229349330872173e-08
179,Sudan,Africa,2020-04-12,4,0,SDN,41801533.0,0.0,9.569027049797431e-08
180,Suriname,America,2020-04-12,0,0,SUR,575991.0,0.0,0.0
181,Sweden,Europe,2020-04-12,466,17,SWE,10183175.0,1.669420391970088e-06,4.5761758979885936e-05
182,Switzerland,Europe,2020-04-12,592,26,CHE,8516543.0,3.0528819029035608e-06,6.951177255841953e-05
183,Syria,Asia,2020-04-12,6,0,SYR,16906283.0,0.0,3.548976436748397e-07
184,Taiwan,Asia,2020-04-12,5,1,TWN,23780452.0,4.205134536551282e-08,2.102567268275641e-07
185,Thailand,Asia,2020-04-12,33,3,THA,69428524.0,4.320990606108809e-08,4.75308966671969e-07
